qseqid	Drug Class	Resistance Mechanism
lcl|CP084321.1_cds_WDM03903.1_4067	phenicol antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM04112.1_4288	phosphonic acid antibiotic	antibiotic inactivation
lcl|CP084321.1_cds_WDM04445.1_4644	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM04775.1_4989	aminoglycoside antibiotic	antibiotic inactivation
lcl|CP084321.1_cds_WDM04776.1_4990	aminoglycoside antibiotic	antibiotic inactivation
lcl|CP084321.1_cds_WDM09492.1_4991	penam	antibiotic inactivation
lcl|CP084321.1_cds_WDM04777.1_4992	disinfecting agents and antiseptics	antibiotic efflux
lcl|CP084321.1_cds_WDM04778.1_4993	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
lcl|CP084321.1_cds_WDM04813.1_5033	phenicol antibiotic	antibiotic inactivation
lcl|CP084321.1_cds_WDM04941.1_5166	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM04942.1_5167	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM05254.1_5495	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM05255.1_5496	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM05256.1_5497	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM05436.1_5684	peptide antibiotic	antibiotic efflux;antibiotic target alteration
lcl|CP084321.1_cds_WDM05642.1_5899	disinfecting agents and antiseptics	antibiotic efflux
lcl|CP084321.1_cds_WDM05659.1_5916	aminoglycoside antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM06176.1_6448	carbapenem;cephalosporin;penam	antibiotic inactivation
